text,category
The local area has a problem where broken road surface with a large pothole and it needs urgent attention.,Pothole
I want to report that deep pothole near the school and residents are affected.,Pothole
I want to report that vehicle obstructing the main street and it needs urgent attention.,Road Obstruction
A public complaint is that water coming out from a broken pipeline near our neighborhood.,Water Leakage
People in our area reported that obstruction preventing traffic from passing.,Road Obstruction
Please report that road flooded after heavy rain and it needs urgent attention.,Flooding
A public complaint is that water coming out from a broken pipeline.,Water Leakage
deep road pothole damaging vehicles,Pothole
drain near our house is completely clogged,Drainage
Please report that drainage is blocked near our neighborhood.,Drainage
Kindly check because blocked drain causing water to collect and residents are affected.,Drainage
The local area has a problem where section of pavement has collapsed.,Infrastructure Damage
We noticed that water continuously flowing from a damaged pipe near our neighborhood.,Water Leakage
The local area has a problem where clean water being wasted because of a pipe leak and it needs urgent attention.,Water Leakage
I want to report that street lamp near the school is broken and residents are affected.,Streetlight
Residents noticed that major water leak near the junction.,Water Leakage
floodwater entering the main road,Flooding
I want to report that vehicle obstructing the main street and residents are affected.,Road Obstruction
Residents noticed that no street lighting on our road and residents are affected.,Streetlight
We noticed that drainage channel needs cleaning and residents are affected.,Drainage
Please report that public infrastructure has been damaged and it needs urgent attention.,Infrastructure Damage
Kindly check because huge hole in the road causing accidents and it needs urgent attention.,Pothole
water coming out from a broken pipeline,Water Leakage
A public complaint is that garbage bin needs immediate collection and it needs urgent attention.,Garbage
I want to report that deep pothole near the school.,Pothole
traffic lights are malfunctioning,Traffic Signal
water continuously flowing from a damaged pipe,Water Leakage
There is a civic issue where storm drain filled with debris and residents are affected.,Drainage
Kindly check because traffic lights are malfunctioning and residents are affected.,Traffic Signal
I want to report that waste not collected from our street.,Garbage
drainage is blocked,Drainage
huge hole in the road causing accidents,Pothole
broken road surface with a large pothole,Pothole
Please inspect the area because street filled with uncollected garbage and it needs urgent attention.,Garbage
public facility has been damaged,Infrastructure Damage
Residents noticed that signal has stopped functioning.,Traffic Signal
Please report that street light is not working and residents are affected.,Streetlight
streetlight has stopped working,Streetlight
Please report that public infrastructure has been damaged near our neighborhood.,Infrastructure Damage
leaking water connection outside the building,Water Leakage
broken water pipeline is leaking,Water Leakage
dangerous pothole near the bus stop,Pothole
garbage bin needs immediate collection,Garbage
traffic light at the junction is broken,Traffic Signal
street lamp near the school is broken,Streetlight
Residents noticed that road blocked by illegally dumped materials.,Road Obstruction
We noticed that water continuously flowing from a damaged pipe.,Water Leakage
I want to report that traffic light at the junction is broken and it needs urgent attention.,Traffic Signal
The local area has a problem where waste scattered around the community bin near our neighborhood.,Garbage
water standing across the entire street,Flooding
Residents noticed that signal has stopped functioning and it needs urgent attention.,Traffic Signal
Residents noticed that pile of garbage beside the road and residents are affected.,Garbage
We noticed that fallen tree blocking the road.,Road Obstruction
A public complaint is that street submerged after recent rain and it needs urgent attention.,Flooding
I want to report that deep pothole near the school near our neighborhood.,Pothole
There is a civic issue where pothole near the junction is getting bigger and residents are affected.,Pothole
Please report that water leaking from the street pipe near our neighborhood.,Water Leakage
Please inspect the area because temporary structure blocking the footpath.,Road Obstruction
Residents noticed that public facility has been damaged near our neighborhood.,Infrastructure Damage
We noticed that red light not operating properly.,Traffic Signal
People in our area reported that garbage collection missed for several days and residents are affected.,Garbage
There is a civic issue where pipeline has burst and water is flooding the street near our neighborhood.,Water Leakage
We noticed that neighborhood flooded after rainfall.,Flooding
There is a civic issue where heavy rain causing flooding in the area.,Flooding
Please report that drainage is blocked and it needs urgent attention.,Drainage
The local area has a problem where section of pavement has collapsed near our neighborhood.,Infrastructure Damage
The local area has a problem where roadside drain not allowing water to flow near our neighborhood.,Drainage
There is a civic issue where junction signal stuck on one light.,Traffic Signal
Please inspect the area because damaged water main leaking onto the road and it needs urgent attention.,Water Leakage
Please report that traffic signal not working and it needs urgent attention.,Traffic Signal
A public complaint is that drain near our house is completely clogged and residents are affected.,Drainage
Kindly check because household waste accumulating in the neighborhood and residents are affected.,Garbage
A public complaint is that garbage bin needs immediate collection.,Garbage
People in our area reported that broken streetlight making the road unsafe near our neighborhood.,Streetlight
A public complaint is that drain near our house is completely clogged near our neighborhood.,Drainage
Please report that public infrastructure has been damaged.,Infrastructure Damage
Please inspect the area because public street light has been off for several nights and it needs urgent attention.,Streetlight
Residents noticed that severe waterlogging near the bus stop and residents are affected.,Flooding
signal has stopped functioning,Traffic Signal
People in our area reported that road divider is damaged and it needs urgent attention.,Infrastructure Damage
The local area has a problem where traffic signal near the market is damaged and it needs urgent attention.,Traffic Signal
The local area has a problem where lamp on our street needs repair near our neighborhood.,Streetlight
Kindly check because floodwater entering the main road.,Flooding
We noticed that streetlight has stopped working near our neighborhood.,Streetlight
Please inspect the area because street filled with uncollected garbage.,Garbage
pipeline has burst and water is flooding the street,Water Leakage
Kindly check because floodwater entering the main road near our neighborhood.,Flooding
broken streetlight making the road unsafe,Streetlight
Please inspect the area because temporary structure blocking the footpath near our neighborhood.,Road Obstruction
We noticed that public dustbin completely full and residents are affected.,Garbage
There is a civic issue where light pole near the junction is dark at night near our neighborhood.,Streetlight
We noticed that neighborhood flooded after rainfall near our neighborhood.,Flooding
Please report that construction materials blocking the road and it needs urgent attention.,Road Obstruction
Please report that street light is not working near our neighborhood.,Streetlight
Please inspect the area because pothole making driving dangerous and it needs urgent attention.,Pothole
The local area has a problem where road blocked near the market near our neighborhood.,Road Obstruction
Please inspect the area because vehicles facing problems because the signal is broken and residents are affected.,Traffic Signal
We noticed that streetlight has stopped working and it needs urgent attention.,Streetlight
garbage overflowing near the bus stop,Garbage
Residents noticed that major water leak near the junction and residents are affected.,Water Leakage
We noticed that drainage channel needs cleaning and it needs urgent attention.,Drainage
sewage backing up because the drain is blocked,Drainage
A public complaint is that public utility structure needs repair and it needs urgent attention.,Infrastructure Damage
There is a civic issue where garbage bags dumped near the park and it needs urgent attention.,Garbage
People in our area reported that deep road pothole damaging vehicles near our neighborhood.,Pothole
public street light has been off for several nights,Streetlight
There is a civic issue where light pole near the junction is dark at night.,Streetlight
People in our area reported that garbage collection missed for several days.,Garbage
Residents noticed that no street lighting on our road.,Streetlight
There is a civic issue where junction signal stuck on one light near our neighborhood.,Traffic Signal
The local area has a problem where lamp on our street needs repair.,Streetlight
public dustbin completely full,Garbage
Please report that large pothole on the main road.,Pothole
There is a civic issue where light pole near the junction is dark at night and residents are affected.,Streetlight
I want to report that street lamp near the school is broken and it needs urgent attention.,Streetlight
junction signal stuck on one light,Traffic Signal
Kindly check because household waste accumulating in the neighborhood near our neighborhood.,Garbage
I want to report that deep pothole near the school and it needs urgent attention.,Pothole
Residents noticed that pile of garbage beside the road near our neighborhood.,Garbage
People in our area reported that leaking water connection outside the building and residents are affected.,Water Leakage
The local area has a problem where clean water being wasted because of a pipe leak near our neighborhood.,Water Leakage
The local area has a problem where lamp on our street needs repair and residents are affected.,Streetlight
traffic signal not working,Traffic Signal
neighborhood flooded after rainfall,Flooding
building materials occupying the roadside,Road Obstruction
Please inspect the area because public street light has been off for several nights.,Streetlight
People in our area reported that garbage collection missed for several days near our neighborhood.,Garbage
Please report that road flooded after heavy rain near our neighborhood.,Flooding
roadside barrier is broken,Infrastructure Damage
Please report that large pothole on the main road near our neighborhood.,Pothole
People in our area reported that obstruction preventing traffic from passing and it needs urgent attention.,Road Obstruction
Kindly check because building materials occupying the roadside.,Road Obstruction
road flooded after heavy rain,Flooding
The local area has a problem where road blocked near the market.,Road Obstruction
Please report that water leaking from the street pipe and residents are affected.,Water Leakage
A public complaint is that drain near our house is completely clogged and it needs urgent attention.,Drainage
There is a civic issue where heavy rain causing flooding in the area and it needs urgent attention.,Flooding
underground water pipe appears to be leaking,Water Leakage
Kindly check because underground water pipe appears to be leaking.,Water Leakage
Kindly check because huge hole in the road causing accidents.,Pothole
garbage bags dumped near the park,Garbage
There is a civic issue where garbage bags dumped near the park near our neighborhood.,Garbage
Please inspect the area because damaged water main leaking onto the road near our neighborhood.,Water Leakage
A public complaint is that dangerous hole in the road and it needs urgent attention.,Pothole
damaged water main leaking onto the road,Water Leakage
Please report that traffic signal not working near our neighborhood.,Traffic Signal
Kindly check because building materials occupying the roadside and residents are affected.,Road Obstruction
Please inspect the area because floodwater making the road difficult to use near our neighborhood.,Flooding
People in our area reported that pedestrian signal not working near our neighborhood.,Traffic Signal
The local area has a problem where waste scattered around the community bin.,Garbage
A public complaint is that garbage bin needs immediate collection and residents are affected.,Garbage
People in our area reported that obstruction preventing traffic from passing and residents are affected.,Road Obstruction
The local area has a problem where waste scattered around the community bin and residents are affected.,Garbage
Please report that water leaking from the street pipe.,Water Leakage
Kindly check because underground water pipe appears to be leaking and it needs urgent attention.,Water Leakage
Kindly check because several street lamps are not functioning and residents are affected.,Streetlight
Please report that street light is not working.,Streetlight
There is a civic issue where street partially blocked by a parked vehicle.,Road Obstruction
I want to report that street lamp near the school is broken.,Streetlight
vehicles facing problems because the signal is broken,Traffic Signal
Residents noticed that dangerous pothole near the bus stop and residents are affected.,Pothole
A public complaint is that public utility structure needs repair.,Infrastructure Damage
Please inspect the area because vehicles facing problems because the signal is broken near our neighborhood.,Traffic Signal
We noticed that footpath is badly damaged.,Infrastructure Damage
streetlight is flickering and needs maintenance,Streetlight
The local area has a problem where section of pavement has collapsed and residents are affected.,Infrastructure Damage
lamp on our street needs repair,Streetlight
There is a civic issue where public bench has been broken and residents are affected.,Infrastructure Damage
We noticed that drainage channel needs cleaning.,Drainage
A public complaint is that dangerous hole in the road.,Pothole
Please report that water leaking from the street pipe and it needs urgent attention.,Water Leakage
Please inspect the area because drainage water spilling onto the street.,Drainage
We noticed that streetlight has stopped working.,Streetlight
Residents noticed that severe waterlogging near the bus stop.,Flooding
Residents noticed that road blocked by illegally dumped materials near our neighborhood.,Road Obstruction
I want to report that vehicle obstructing the main street.,Road Obstruction
We noticed that footpath is badly damaged and residents are affected.,Infrastructure Damage
I want to report that roadside barrier is broken and residents are affected.,Infrastructure Damage
A public complaint is that water coming out from a broken pipeline and residents are affected.,Water Leakage
A public complaint is that intersection traffic light needs repair and residents are affected.,Traffic Signal
Residents noticed that signal has stopped functioning and residents are affected.,Traffic Signal
The local area has a problem where broken road surface with a large pothole near our neighborhood.,Pothole
A public complaint is that debris obstructing the road after construction and it needs urgent attention.,Road Obstruction
drainage channel needs cleaning,Drainage
I want to report that street lamp near the school is broken near our neighborhood.,Streetlight
There is a civic issue where pothole near the junction is getting bigger near our neighborhood.,Pothole
red light not operating properly,Traffic Signal
The local area has a problem where clean water being wasted because of a pipe leak.,Water Leakage
footpath is badly damaged,Infrastructure Damage
People in our area reported that road divider is damaged near our neighborhood.,Infrastructure Damage
A public complaint is that streetlight is flickering and needs maintenance and residents are affected.,Streetlight
We noticed that red light not operating properly and residents are affected.,Traffic Signal
storm drain filled with debris,Drainage
We noticed that neighborhood flooded after rainfall and it needs urgent attention.,Flooding
Please report that garbage overflowing near the bus stop and residents are affected.,Garbage
public bench has been broken,Infrastructure Damage
Please inspect the area because damaged water main leaking onto the road.,Water Leakage
Please inspect the area because damaged water main leaking onto the road and residents are affected.,Water Leakage
pedestrian signal not working,Traffic Signal
Please inspect the area because pothole making driving dangerous and residents are affected.,Pothole
blocked drain causing water to collect,Drainage
Please inspect the area because floodwater making the road difficult to use.,Flooding
street light is not working,Streetlight
Residents noticed that pile of garbage beside the road.,Garbage
I want to report that street drain is clogged with waste near our neighborhood.,Drainage
The local area has a problem where roadside drain not allowing water to flow and residents are affected.,Drainage
People in our area reported that sewage backing up because the drain is blocked and residents are affected.,Drainage
A public complaint is that debris obstructing the road after construction.,Road Obstruction
The local area has a problem where road becoming flooded whenever it rains and it needs urgent attention.,Flooding
vehicle obstructing the main street,Road Obstruction
fallen tree blocking the road,Road Obstruction
Kindly check because blocked drain causing water to collect near our neighborhood.,Drainage
Please inspect the area because bus shelter is damaged near our neighborhood.,Infrastructure Damage
People in our area reported that water standing across the entire street near our neighborhood.,Flooding
Please report that garbage overflowing near the bus stop.,Garbage
